"Country","Region","City","Page views","Site sessions","Unique visitors"
"US","TX","San Antonio","215","112","94"
"US",,,"111","66","59"
"US","WA","Seattle","109","69","52"
"US","VA","Norfolk","103","80","4"
"US","DC","Washington","89","41","40"
"US","NC","Durham","83","63","42"
"US","GA","Atlanta","75","55","44"
"US","WA","Tacoma","74","39","34"
"US","FL","Jacksonville","70","30","25"
"US","SC","Boiling Springs","63","50","5"
"US","IL","Chicago","63","35","31"
"IN","KA","Bengaluru","62","40","38"
"US","NV","Las Vegas","57","35","29"
"US","NE","Omaha","52","48","6"
"US","OH","Dayton","50","26","24"
"US","CA","Los Angeles","49","29","27"
"US","VA","Ashburn","47","18","13"
"US","NC","Charlotte","45","27","22"
"US","NC","Fayetteville","44","15","13"
"CA","BC","Burnaby","41","3","1"
"US","TX","Austin","41","16","14"
"US","TX","El Paso","40","22","16"
"US","AZ","Phoenix","40","26","20"
"US","FL","Tampa","40","26","19"
"US","NY","New York","37","19","19"
"US","VA","Arlington","37","17","17"
"US","CA","Mountain View","36","15","15"
"IN","DL","Delhi","34","20","20"
"US","VA","Alexandria","34","17","10"
"US","WA",,"33","27","23"
"PK","SD","Karachi","32","16","15"
"US","TN","Memphis","31","12","8"
"US","CO","Denver","31","20","15"
"US","OH","Cincinnati","31","19","17"
"US","GA","Valdosta","30","13","10"
"US","TX","Dallas","30","14","13"
"US","CA","Murrieta","29","4","1"
"US","WA","Olympia","29","15","11"
"US","AK","Fairbanks","28","7","1"
"US","NM","Albuquerque","27","17","15"
"US","VA","Tappahannock","27","20","20"
"US","FL","Miami","26","20","19"
"US","VA","Woodbridge","26","14","7"
"US","OR","Salem","26","19","6"
"US","NC","Wake Forest","26","12","10"
"US","TX","Houston","25","16","14"
"NL","NH","Amsterdam","25","25","25"
"US","VA","Richmond","24","11","9"
"US","AL","Birmingham","24","13","6"
"US","WA","Lacey","23","12","7"
"US","OR","Portland","23","10","9"
"US","OH","Columbus","23","14","8"
"IN","MH","Mumbai","23","11","10"
"US","MD","Upper Marlboro","23","6","3"
"US","OH","Cleveland","23","10","10"
"US","TX",,"22","9","9"
"US","NC",,"22","10","9"
"US","VA","Falls Church","22","7","6"
"US","MD","Frederick","21","16","10"
"US","FL",,"21","16","12"
"US","VA","Herndon","21","11","9"
"US","VA","Leesburg","21","4","2"
"US","VA","Vienna","20","5","5"
"US","GA","Kathleen","19","3","3"
"US","FL","Tallahassee","19","7","5"
"US","LA","New Orleans","18","8","7"
"US","SC","Spartanburg","18","12","3"
"IN","DL","New Delhi","18","10","9"
"US","CA",,"18","15","15"
"US","VA","Manassas","18","10","4"
"US","VA","Fairfax","17","9","9"
"US","TN","Nashville","17","6","6"
"US","MI","Detroit","17","8","7"
"US","NC","Raleigh","17","10","8"
"US","MD","Germantown","17","8","7"
"US","VA","Virginia Beach","17","11","10"
"US","NV","Carson City","17","2","2"
"US","FL","Fleming Island","17","2","1"
"US","PA","Philadelphia","16","8","8"
"US","AK",,"16","7","1"
"US","MD","Abingdon","16","9","5"
"PH","00","Quezon City","16","2","2"
"US","FL","Melbourne","16","3","1"
"US","SC","Columbia","16","6","4"
"IN","RJ","Jaipur","16","3","2"
"US","AK","Anchorage","15","6","5"
"US","GA",,"15","8","8"
"US","SC","Beaufort","15","4","2"
"US","FL","Orlando","15","9","9"
"US","SC","Martin","15","14","2"
"US","NC","Goldsboro","15","7","4"
"US","MD","East New Market","15","9","3"
"US","TX","Flower Mound","15","4","4"
"US","MD","New Market","15","7","3"
"US","TN","Clarksville","14","8","5"
"US","TN",,"14","7","5"
"US","VA","Lorton","14","4","4"
"US","MD","Baltimore","14","12","10"
"CA","ON","Toronto","14","6","6"
"PH","ISA","Roxas","14","4","4"
"MX","CMX","Mexico City","14","14","3"
"US","GA","Columbus","14","10","7"
"US","KS","Wichita","14","7","3"
"US","IN","Rushville","14","1","1"
"DE","HE","Frankfurt am Main","14","12","12"
"US","FL","New Smyrna Beach","14","2","2"
"IN","MH","Pune","13","5","5"
"IN","TN","Chennai","13","5","5"
"US","OK","Oklahoma City","13","7","6"
"PH","MSR","Cagayan de Oro","13","4","4"
"US","NC","Southern Pines","13","6","3"
"US","CA","Fairfield","13","8","6"
"US","CO","Colorado Springs","13","5","5"
"US","FL","Fort Lauderdale","13","5","5"
"US","AZ","Tucson","13","7","7"
"US","CA","Santa Rosa","12","2","2"
"US","NY","Brooklyn","12","7","7"
"US","FL","Coral Springs","12","12","8"
"US","VA","Lynchburg","12","3","3"
"US","IL","Elmhurst","12","3","1"
"US","PA","Reading","12","3","1"
"US","OK","Fort Sill","12","5","2"
"US","SC","Bluffton","12","5","2"
"US","MD","Waldorf","11","2","1"
"US","GA","Kingsland","11","4","2"
"US","AZ","Mesa","11","5","4"
"US","VA","Annandale","11","3","2"
"US","TX","New Braunfels","11","6","6"
"US","CA","Sacramento","11","6","6"
"US","FL","Rockledge","11","4","2"
"US","VA","Springfield","11","5","5"
"US","PA","Pittsburgh","10","7","5"
"US","TX","Conroe","10","2","1"
"US","MD","Rockville","10","5","3"
"US","IL","Cissna Park","10","4","1"
"US","TX","Fort Worth","10","2","2"
"US","CA","Oceanside","10","3","2"
"US","UT","Salt Lake City","10","7","7"
"US","GA","Moultrie","10","8","2"
"US","NC","Sanford","10","2","2"
"US","GA","Augusta","10","8","7"
"US","KS","Junction City","10","10","4"
"US","MA","Boston","10","10","8"
"US","MD","Laurel","10","2","2"
"US","WA","Joint Base Lewis McChord","10","4","3"
"US","FL","Bartow","9","3","2"
"US","MD","Timonium","9","2","2"
"US","VA","Aldie","9","5","5"
"US","IN","Indianapolis","9","6","4"
"US","NY","Rochester","9","5","4"
"US","MI","Bloomfield Hills","9","1","1"
"IN","GJ","Ahmedabad","9","3","3"
"US","MD","Stevensville","9","2","2"
"US","OH","Warren","9","5","5"
"US","OH","Xenia","9","9","4"
"GB","ENG","London","9","9","9"
"US","OR","Boardman","9","9","9"
"PH","12","Iligan City","8","2","2"
"US","FL","Valrico","8","6","3"
"GB","BST","Bristol","8","8","8"
"US","FL","Gainesville","8","3","2"
"US","NC","Waxhaw","8","2","1"
"GB","LDS","Leeds","8","8","8"
"US","NY","Albany","8","4","3"
"US","CA","Valencia","8","1","1"
"US","FL","Pensacola","8","5","5"
"US","WA","Spokane","8","5","5"
"US","KS","Manhattan","8","7","1"
"US","FL","Fort Walton Beach","8","5","3"
"RU",,,"8","8","8"
"US","WA","Marysville","8","4","2"
"PK","PB","Lahore","8","4","3"
"US","HI","Mililani Town","8","4","2"
"US","WA","Everett","8","4","3"
"US","MI","Saint Clair","8","1","1"
"US","WY","Cheyenne","8","8","8"
"US","SC","Greenville","8","4","3"
"US","NY","Flushing","8","5","3"
"US","IL","Schaumburg","8","3","1"
"US","VA","Centreville","7","4","3"
"US","FL","Miami Gardens","7","1","1"
"US","WA","Graham","7","3","3"
"US","FL","Palm Bay","7","3","3"
"US","NC","Forest City","7","2","2"
"US","VA",,"7","5","5"
"US","TX","Irving","7","1","1"
"US","MO","Kansas City","7","6","6"
"US","MD","Hagerstown","7","2","2"
"US","FL","Port Orange","7","1","1"
"IN","MP","Bhopal","7","1","1"
"US","OH","Springfield","7","7","5"
"US","WA","Redmond","7","7","7"
"US","OH",,"7","5","5"
"US","OH","Springboro","7","1","1"
"US","LA",,"7","7","4"
"US","CA","San Ramon","7","1","1"
"US","MD","College Park","7","3","2"
"IN","HR","Faridabad","7","2","1"
"US","NJ","Mount Laurel","7","1","1"
"IN",,,"7","5","5"
"US","MD","Bethesda","7","5","5"
"US","UT","Provo","7","5","2"
"US","TX","Seguin","7","2","1"
"US","NY","Hornell","6","1","1"
"IN","TG","Hyderabad","6","5","5"
"US","ID","Boise","6","4","4"
"US","VA","Gainesville","6","2","2"
"US","NY","Syracuse","6","2","2"
"DE","BE","Berlin","6","1","1"
"US","OH","Fairborn","6","4","4"
"US","FL","Palm Coast","6","2","2"
"US","CA","Temecula","6","1","1"
"US","CA","San Francisco","6","6","6"
"US","MO","St Louis","6","6","5"
"US","VA","Reston","6","4","4"
"US","CA","Wildomar","6","1","1"
"IN","PB","Ludhiana","6","4","4"
"US","NJ","Jersey City","6","4","2"
"ZA","KZN","Durban","6","1","1"
"US","ND","West Fargo","6","2","1"
