"Traffic source","Site sessions","Page views","Unique visitors"
"Direct","2,352","3,903","1,712"
"Google","797","1,575","633"
"Bing","69","162","56"
"Linkedin","50","79","48"
"ziprecruiter.com","47","67","39"
"plan-sys.com","28","87","27"
"copypaste.dataminingwork.com","15","19","13"
"zoominfo.com","9","15","9"
"glassdoor.com","6","12","6"
"statics.teams.cdn.office.net","4","5","3"
"indeed.com","4","9","2"
"Twitter","4","7","4"
"zoomus.lightning.force.com","4","4","2"
"ziprecruiter.lightning.force.com","3","5","2"
"mse.lightning.force.com","2","3","2"
"analyzer.reprisk.com","2","3","2"
"team.finquest.com","2","3","2"
"com.linkedin.android","2","2","2"
"ti.lightning.force.com","2","2","2"
"Facebook","2","2","2"
"manage.wix.com","1","1","1"
"Instagram","1","1","1"
"app.aloware.com","1","5","1"
"nursingjobcafe.com","1","2","1"
"product.costar.com","1","2","1"
"cdaas.lightning.force.com","1","7","1"
"leadedge.lightning.force.com","1","3","1"
"linkedin.my.salesforce.com","1","1","1"
"scrub.sourcescrub.com","1","1","1"
"govtribe.com","1","1","1"
"paylocity.lightning.force.com","1","5","1"
"justworks.lightning.force.com","1","1","1"
"responsiveio.lightning.force.com","1","1","1"
"url-opener.com","1","1","1"
"phmg.lightning.force.com","1","1","1"
"app.delphai.com","1","6","1"
"govconwire.com","1","3","1"
"d3000000000mheay.lightning.force.com","1","1","1"
"clearsightadvisors.lightning.force.com","1","2","1"
"talrooneworg000000000.lightning.force.com","1","2","1"
